"","AICC","AICH","AICI","AICLog","AICT","WAICC","WAICH","WAICI","CAICLog","WAICT"
"1",2504.90977239508,2503.46313608477,2508.90977239508,2478.6294823844,2485.17365315169,0,0,0,1,0
"2",2689.42251995154,2686.18588646127,2693.42251995154,2644.69204388289,2661.54558256306,0,0,0,1,0
"3",2422.10308377804,2417.51130032692,2426.10308377804,2399.33179669337,2403.10975774302,0,0,0,1,0
"4",2403.1461315451,2406.23597104238,2407.1461315451,2388.31640823742,2395.77581588217,0,0,0,1,0
"5",2569.94232050032,2560.12330119401,2573.94232050032,2525.59620891898,2534.15994042476,0,0,0,1,0
"6",2550.27431072521,2543.35940829104,2554.27431072521,2518.6156536886,2524.74188422166,0,0,0,1,0
"7",2509.79605047466,2506.46368911773,2513.79605047466,2481.62319484365,2496.54519553983,0,0,0,1,0
"8",2392.552251147,2394.0354195294,2396.552251147,2389.75844078334,2392.02516065156,0,0,0,1,0
"9",2332.24553873992,2331.90609146148,2336.24553873992,2305.41758916793,2316.56283564362,0,0,0,1,0
"10",2367.35618891562,2365.7438263225,2371.35618891562,2360.52951662256,2362.93847456528,0,0,0,1,0
"11",2806.85559196786,2800.29519717886,2810.85559196786,2770.17087196437,2777.90548010034,0,0,0,1,0
"12",2565.78520137284,2568.36722341579,2569.78520137284,2548.18367709579,2555.67428932304,0,0,0,1,0
"13",2620.99109107669,2623.2396556021,2624.99109107669,2607.94495437493,2613.52376202196,0,0,0,1,0
"14",2591.83477684991,2581.13351735437,2595.83477684991,2545.04567379883,2556.05387799175,0,0,0,1,0
"15",2574.56354361852,2574.77380296432,2578.56354361852,2549.68079211451,2556.99363014119,0,0,0,1,0
"16",2451.57969277282,2447.40871822875,2455.57969277282,2434.09398312272,2435.89878603338,0,0,0,1,0
"17",2443.36424677677,2440.4936905322,2447.36424677677,2429.41506505751,2433.34952435918,0,0,0,1,0
"18",2716.66177543858,2715.34065847088,2720.66177543858,2698.07682052705,2702.52904384347,0,0,0,1,0
"19",2425.53704463115,2421.0089787472,2429.53704463115,2413.12852598599,2412.05660633947,0,0,0,0,1
"20",2476.56926667152,2470.82094824284,2480.56926667152,2455.89657263103,2460.51526010098,0,0,0,1,0
"21",2666.68132984991,2664.92596968952,2670.68132984991,2642.7393179594,2654.26237484346,0,0,0,1,0
"22",2453.38786546147,2455.36020234174,2457.38786546147,2437.70056485056,2443.78948189108,0,0,0,1,0
"23",2355.42913299139,2347.86916233867,2359.42913299139,2319.92240728468,2321.2764912478,0,0,0,1,0
"24",2638.98139468041,2635.70295065876,2642.98139468041,2610.19142639142,2618.08329822445,0,0,0,1,0
"25",2435.38400888273,2431.28561215822,2439.38400888273,2413.13902493399,2420.05676658044,0,0,0,1,0
"26",2613.78180642217,2614.97629206478,2617.78180642217,2600.24220606421,2605.94116481863,0,0,0,1,0
"27",2607.99616315203,2602.44328897744,2611.99616315203,2584.82353214386,2587.95907629351,0,0,0,1,0
"28",2381.02872830739,2383.38471697963,2385.02872830739,2381.61383567664,2382.61768663843,1,0,0,0,0
"29",2471.54000322383,2466.51896492127,2475.54000322383,2446.60880993413,2448.32367103971,0,0,0,1,0
"30",2477.79377087813,2480.76929668425,2481.79377087813,2463.54512826587,2471.41062245969,0,0,0,1,0
