"","AICC","AICH","AICI","AICLog","AICT","WAICC","WAICH","WAICI","WAICLog","CAICT"
"1",2295.1348652757,2296.35128237056,2298.88041230293,2284.13049942291,2293.16870690171,0,0,0,1,0
"2",1992.61699084384,1992.92376738978,1996.30675710211,1947.36052622698,1947.99519492371,0,0,0,1,0
"3",2271.72341221169,2268.88193362409,2274.37033410801,2265.60858219284,2268.56372987055,0,0,0,1,0
"4",2245.92415668402,2248.94572509834,2249.91831540361,2240.46746398689,2247.55889535358,0,0,0,1,0
"5",2207.11973153948,2208.7822850038,2208.91889978454,2207.27609903913,2209.67456798877,1,0,0,0,0
"6",2196.25224628395,2198.8872953906,2199.42272187059,2195.87514670567,2198.63472886403,0,0,0,1,0
"7",2198.04252035328,2196.67002683071,2200.61131537654,2183.76600186173,2189.48105620818,0,0,0,1,0
"8",2180.39930850926,2183.62548623195,2184.0276235173,2155.34900907157,2166.29121236884,0,0,0,1,0
"9",2215.64750881311,2213.12461019779,2218.16820547345,2174.42229926072,2188.59798350592,0,0,0,1,0
"10",2241.84719990872,2244.82692890982,2243.96851362376,2244.44173307571,2245.06220630856,1,0,0,0,0
"11",2127.55559221796,2130.43958779042,2130.93393032137,2124.56476666499,2128.2123549727,0,0,0,1,0
"12",2225.85565586223,2226.60596202593,2228.33903064832,2226.36172677404,2226.67779574991,1,0,0,0,0
"13",2256.8438581167,2256.73475811869,2260.36875096374,2249.05049393212,2254.62087476775,0,0,0,1,0
"14",2244.34701129516,2244.15624076217,2247.81301059497,2229.45192997595,2230.47810126303,0,0,0,1,0
"15",1986.37629714137,1983.50225436493,1988.41134304743,1980.95688894582,1980.36277168432,0,0,0,0,1
"16",2241.22509158123,2244.34493696805,2244.98743785294,2238.01669533978,2241.15631832756,0,0,0,1,0
"17",2176.48109687189,2179.155421111,2180.17403725593,2178.77494288046,2180.26964948056,1,0,0,0,0
"18",2300.59973713881,2301.90559477777,2302.98214637252,2284.99098086045,2295.21931180717,0,0,0,1,0
"19",2296.89299445717,2300.45913161314,2297.67662048031,2286.76119582905,2294.21418624828,0,0,0,1,0
"20",2140.0763602136,2141.83264962826,2142.65473505192,2143.62861649168,2142.84801266281,1,0,0,0,0
"21",2077.99955903552,2079.38500928286,2081.78370263824,2068.11325985331,2075.01954588363,0,0,0,1,0
"22",2067.4572345459,2070.27270711156,2070.79586173089,2065.86506603969,2068.92457853171,0,0,0,1,0
"23",2196.06507642587,2194.89479686868,2197.71490481516,2183.93377186008,2188.77029550961,0,0,0,1,0
"24",2183.77700815374,2187.56701665774,2185.10371276463,2179.36896245269,2186.53439285857,0,0,0,1,0
"25",2104.54525750486,2107.70287077288,2108.36791269785,2100.43408193071,2106.63550021757,0,0,0,1,0
"26",2174.71092645612,2176.73517742738,2173.56532675118,2168.92817193337,2175.23074802671,0,0,0,1,0
"27",2485.92018354319,2488.93472514734,2488.6633518315,2468.39492329274,2482.59068689467,0,0,0,1,0
"28",2211.24417756629,2214.96647732935,2214.64486632063,2213.83010823891,2214.88424746053,1,0,0,0,0
"29",2420.16600901779,2418.5399427244,2423.50072278987,2415.29103468415,2418.5126008015,0,0,0,1,0
"30",2165.89498398742,2168.30011941864,2169.73971706951,2158.8043305741,2168.9658581709,0,0,0,1,0
