"","AUCC","AUCH","AUCI","AUCLog","AUCT","WAUCC","WAUCH","WAUCI","CAUCLog","WAUCT"
"1",0.710094001084297,0.745290623126504,0.710818778033712,0.778356898145891,0.787266491305067,0,0,0,0,1
"2",0.69440056386544,0.720232055128634,0.694800059970125,0.745545664141705,0.756716928213201,0,0,0,0,1
"3",0.71924587645004,0.754414999670445,0.71920056271421,0.788650556947007,0.806851230885843,0,0,0,0,1
"4",0.706583749992467,0.72751748160439,0.706172949866314,0.751218338760449,0.759261584262238,0,0,0,0,1
"5",0.725890887051715,0.775954809322234,0.729200640169702,0.773366194115363,0.793748401943236,0,0,0,0,1
"6",0.725231155726512,0.757256257101459,0.728287519154392,0.777996685117428,0.794232312808164,0,0,0,0,1
"7",0.715518408198823,0.731234120095454,0.717260712491631,0.758600470004297,0.768997975184427,0,0,0,0,1
"8",0.71365315898355,0.739907035574289,0.714104890127923,0.760881650127775,0.762624963584939,0,0,0,0,1
"9",0.707320120247735,0.746305707045667,0.706085574206546,0.772267079034556,0.781418458971756,0,0,0,0,1
"10",0.712207808355438,0.748882522380637,0.712105230437666,0.768042315981433,0.77404364224138,0,0,0,0,1
"11",0.705188934541118,0.747077141987479,0.71124975367225,0.751208971973684,0.77360467472247,0,0,0,0,1
"12",0.705797101449276,0.724516299784617,0.707757456284452,0.764705855510533,0.771175574051767,0,0,0,0,1
"13",0.71417033399752,0.740637243990807,0.716963852319872,0.769693410246714,0.782156524630786,0,0,0,0,1
"14",0.699827424864147,0.745636128174943,0.700078513478147,0.737409596027392,0.753050485228746,0,0,0,0,1
"15",0.733292429115338,0.746686659140555,0.732509726738661,0.772962741779641,0.781102251286151,0,0,0,0,1
"16",0.710938311337779,0.744188700779912,0.717012066279709,0.762598645821016,0.778271956567562,0,0,0,0,1
"17",0.706103636192064,0.737574312316185,0.706357241715553,0.759338679363981,0.768657207901483,0,0,0,0,1
"18",0.699289596660445,0.71941694923706,0.702573587029306,0.75397854364644,0.759405854193677,0,0,0,0,1
"19",0.717086117874273,0.754550864697043,0.719004339860279,0.775469777242963,0.790651802473664,0,0,0,0,1
"20",0.714090061314486,0.765222906850308,0.714601644617615,0.783403935604687,0.796836300894044,0,0,0,0,1
"21",0.708889534657013,0.73828286748281,0.709115140869262,0.771340212311229,0.777196689623414,0,0,0,0,1
"22",0.734416854332109,0.761884161036704,0.735651495397258,0.80460866816799,0.814858164434436,0,0,0,0,1
"23",0.715675378482927,0.773756553498144,0.715406365974827,0.783414986156655,0.804322363382881,0,0,0,0,1
"24",0.711868037703513,0.745076938503893,0.713393133876643,0.761007949096611,0.775211489726339,0,0,0,0,1
"25",0.740240379775264,0.782210522036104,0.740593708616964,0.796045040231087,0.810879043437183,0,0,0,0,1
"26",0.709451175133525,0.746113213673874,0.710774296730079,0.76605474625551,0.773806857838142,0,0,0,0,1
"27",0.714241255115144,0.751568706734207,0.713860310222052,0.77565528137507,0.794785828475584,0,0,0,0,1
"28",0.720564105810007,0.755639840885742,0.720150252937138,0.762225944193157,0.768201005905924,0,0,0,0,1
"29",0.697976841699874,0.719660976319037,0.699799285562708,0.748547448382102,0.759139236676019,0,0,0,0,1
"30",0.703187052245668,0.719607482559345,0.702745900516862,0.7509556657185,0.756054831931951,0,0,0,0,1
