"","cvC","cvH","cvI","cvLog","cvT","WcvC","WcvH","WcvI","WcvLog","CcvT"
"1",2.43922593994941,2.39160375034724,2.44691303399671,2.2795987332552,2.26410748256761,0,0,0,0,1
"2",2.31741112177598,2.2815615723219,2.32299369383688,2.20256333121407,2.16330746774856,0,0,0,0,1
"3",2.49618357965576,2.43281417052815,2.50135628673714,2.43866965836978,2.47436822380751,0,1,0,0,0
"4",2.47841610281693,2.47932734089697,2.48279813221999,2.34576459015249,2.31989765012122,0,0,0,0,1
"5",2.2824627211908,2.264434412947,2.28227462023318,2.09950701186962,2.18858450993629,0,0,0,1,0
"6",2.59301586957774,2.56320360780457,2.61883449815319,2.35052447664904,2.45825235512495,0,0,0,1,0
"7",2.52601305278267,3.74069133282604,2.52558101284503,2.46112420974136,2.62293590485049,0,0,0,1,0
"8",2.51536060133422,2.46496593669148,2.51657806382298,2.55827139876765,2.70648386580287,0,1,0,0,0
"9",2.29631895164482,2.2436710546383,2.29619319238851,2.14034855880677,2.12208663452755,0,0,0,0,1
"10",2.58550537955002,2.55099891242476,2.60758354959337,2.41042039024356,2.4541038582712,0,0,0,1,0
"11",2.30058634103477,2.28691974328045,2.30675067781557,2.15192056032066,2.21090542664545,0,0,0,1,0
"12",2.44186616429439,2.36944421688342,2.44906504887926,2.22955600665124,2.24364443433839,0,0,0,1,0
"13",2.64649099476543,2.57850894614963,2.64967546008545,2.39080145545589,2.48289209840933,0,0,0,1,0
"14",2.68958930361175,4.02441493558966,2.69184544239394,2.69566402029948,2.93918576833551,1,0,0,0,0
"15",2.5479756274855,2.58251883343021,2.55103438284578,2.34484520785958,2.43941206241248,0,0,0,1,0
"16",2.46612753725145,2.41287275818245,2.47311469983868,2.31921255746266,2.23538263449267,0,0,0,0,1
"17",2.45404124517829,2.47722980593425,2.4591003771393,2.26370693092354,2.40998017313938,0,0,0,1,0
"18",2.73216075506322,2.75274651724983,2.73663093387223,2.50357193467358,2.66321740253091,0,0,0,1,0
"19",2.26141395317781,2.25347044595954,2.26681099752716,2.08605023965217,2.18147369755699,0,0,0,1,0
"20",2.4065815169481,2.37169081505866,2.40545149666965,2.19614647325111,2.2393684526297,0,0,0,1,0
"21",2.47679959246097,2.47888458511987,2.50103357525106,2.27946531992107,2.3885177276843,0,0,0,1,0
"22",2.64415683725505,2.62049423350369,2.66375605405914,2.35985139592077,2.44880448357758,0,0,0,1,0
"23",2.34653993243129,2.31173278569494,2.35289430729118,2.12116080877983,2.21954408571632,0,0,0,1,0
"24",2.43218924805365,2.36991887888877,2.43167590158247,2.22484411640421,2.20958692423901,0,0,0,0,1
"25",2.58850278171143,2.62588014612731,2.59581694516246,2.32241740770993,2.49815672431587,0,0,0,1,0
"26",2.41369888183943,2.41126130773364,2.41715900549806,2.2086468974127,2.32565645718969,0,0,0,1,0
"27",2.59093632358907,3.21589283790386,2.59477855065615,2.37213569058743,2.43108944339305,0,0,0,1,0
"28",2.47645030885312,2.42144975495389,2.47627263989144,2.30930652384007,2.3191863692989,0,0,0,1,0
"29",2.64266210592797,2.57153629474583,2.64593256095668,2.35582662293851,2.35896008904176,0,0,0,1,0
"30",2.64744718408646,2.6000436662188,2.6494242868151,2.41361921914239,2.43139655804264,0,0,0,1,0
